index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-04-26 21:35:04,8,La Paz,77,10,59
154,2020-04-26 21:35:24,3,Montero,104,3,98
162,2020-04-26 21:35:35,0,Omereque,5,1,4
163,2020-04-26 21:35:35,1,Oruro,46,8,37
174,2020-04-26 21:35:46,1,Patacamaya,20,0,19
183,2020-04-26 21:35:54,0,Porongo (Ayacucho),1,1,0
187,2020-04-26 21:35:57,1,Potosi,22,0,21
209,2020-04-26 21:36:22,1,Robore,5,2,2
212,2020-04-26 21:36:25,1,Sacaba,2,0,1
226,2020-04-26 21:36:39,0,San Carlos,1,0,1
252,2020-04-26 21:37:04,13,Santa Cruz de la Sierra,295,21,261
262,2020-04-26 21:37:13,0,Santibañez,12,3,9
272,2020-04-26 21:37:22,0,Sucre,2,0,2
282,2020-04-26 21:37:36,0,Tarija,3,0,3
310,2020-04-26 21:38:02,0,Vallegrande,8,4,4
311,2020-04-26 21:38:02,1,Punata,8,0,7
312,2020-04-26 21:38:03,0,Cairoma,12,0,12
313,2020-04-26 21:38:04,0,Capinota,0,0,0
314,2020-04-26 21:38:05,1,Quillacollo,14,0,13
315,2020-04-26 21:38:05,1,Cliza,1,0,0
317,2020-04-26 21:38:07,0,Huanuni,13,0,13
318,2020-04-26 21:38:08,0,Laja,1,0,1
319,2020-04-26 21:38:08,1,Eucaliptus,3,0,2
320,2020-04-26 21:38:09,0,San Julián,1,0,1
321,2020-04-26 21:38:10,0,Malla,1,0,1
322,2020-04-26 21:38:11,0,Chulumani,1,0,1
323,2020-04-26 21:38:11,0,Santuario de Quillacas,3,0,3
324,2020-04-26 21:38:12,2,La Guardia,26,0,24
325,2020-04-26 21:38:13,0,Cotoca,7,0,7
326,2020-04-26 21:38:14,1,Warnes,14,0,13
327,2020-04-26 21:38:14,0,Uyuni,1,0,1
328,2020-04-26 21:38:15,0,Santa Rosa,16,0,16
329,2020-04-26 21:38:16,0,San Pedro,1,0,1
330,2020-04-26 21:38:17,0,Genreal Saavedra,5,0,5
331,2020-04-26 21:38:17,1,Trinidad,38,0,37
334,2020-04-26 21:38:20,0,Mineros,1,0,1
335,2020-04-26 21:38:21,0,El Torno,1,0,1
336,2020-04-26 21:38:21,0,Colcha K,3,0,3
337,2020-04-26 21:38:22,0,Pailon,2,0,2
338,2020-04-26 21:38:23,0,Moxos,1,0,1
55,2020-04-26 21:33:53,0,Chimore,1,1,0
64,2020-04-26 21:34:02,1,Cobija,12,6,5
66,2020-04-26 21:34:03,2,Cochabamba,27,7,18
68,2020-04-26 21:34:05,0,Colcapirhua,1,1,0
79,2020-04-26 21:34:15,0,Concepcion,1,0,1
80,2020-04-26 21:34:16,0,Copacabana,1,1,0
95,2020-04-26 21:34:30,6,El Alto,46,5,35
