daily_fecha,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-03-10,2,2,0,0,2,2,0,0
2020-03-11,3,3,0,0,1,1,0,0
2020-03-12,3,3,0,0,0,0,0,0
2020-03-13,10,10,0,0,7,7,0,0
2020-03-14,10,10,0,0,0,0,0,0
2020-03-15,11,11,0,0,1,1,0,0
2020-03-16,11,11,0,0,0,0,0,0
2020-03-17,12,12,0,0,1,1,0,0
2020-03-18,12,12,0,0,0,0,0,0
2020-03-19,16,16,0,0,4,4,0,0
2020-03-20,19,19,0,0,3,3,0,0
2020-03-21,20,20,0,0,1,1,0,0
2020-03-22,27,27,0,0,7,7,0,0
2020-03-23,28,28,0,0,1,1,0,0
2020-03-24,32,32,0,0,4,4,0,0
2020-03-25,39,39,0,0,7,7,0,0
2020-03-26,61,61,0,0,22,22,0,0
2020-03-27,74,74,0,0,13,13,0,0
2020-03-28,81,81,0,0,7,7,0,0
2020-03-29,96,93,3,0,15,12,3,0
2020-03-30,107,101,6,0,11,8,3,0
2020-03-31,115,108,7,0,8,7,1,0
2020-04-01,123,115,8,0,8,7,1,0
2020-04-02,132,123,9,0,9,8,1,0
2020-04-03,139,128,10,1,7,5,1,1
2020-04-04,157,146,10,1,18,18,0,0
2020-04-05,183,171,11,1,26,25,1,0
2020-04-06,194,179,14,1,11,8,3,0
2020-04-07,210,194,15,1,16,15,1,0
2020-04-08,264,245,18,1,54,51,3,0
2020-04-09,268,248,19,1,4,3,1,0
2020-04-10,275,254,20,1,7,6,1,0
2020-04-11,300,275,24,1,25,21,4,0
2020-04-12,330,302,27,1,30,27,3,0
2020-04-13,354,321,28,5,24,19,1,4
2020-04-14,397,362,28,7,43,41,0,2
2020-04-15,441,398,29,14,44,36,1,7
2020-04-16,465,408,31,26,24,10,2,12
2020-04-17,493,431,31,31,28,23,0,5
2020-04-18,520,457,32,31,27,26,1,0
2020-04-19,564,500,33,31,44,43,1,0
2020-04-20,598,527,34,37,34,27,1,6
2020-04-21,609,535,37,37,11,8,3,0
2020-04-22,672,588,40,44,63,53,3,7
2020-04-23,703,616,43,44,31,28,3,0
2020-04-24,807,709,44,54,104,93,1,10
2020-04-25,866,745,46,75,59,36,2,21
2020-04-26,950,820,50,80,84,75,4,5
2020-04-27,1014,863,53,98,64,43,3,18
2020-04-28,1053,888,55,110,39,25,2,12
2020-04-29,1110,941,59,110,57,53,4,0
2020-04-30,1167,985,62,120,57,44,3,10
2020-05-01,1229,1029,66,134,62,44,4,14
2020-05-02,1470,1240,71,159,241,211,5,25
2020-05-03,1594,1352,76,166,124,112,5,7
2020-05-04,1681,1425,82,174,87,73,6,8
2020-05-05,1802,1531,84,187,121,106,2,13
