index,date_get,decesos,municipio,positivos,recuperados,activos,fecha
132,2020-05-02 17:33,8,La Paz,120,18,94,2020-04-30
154,2020-05-02 17:34,7,Montero,153,7,139,2020-04-30
162,2020-05-02 17:34,0,Omereque,5,4,1,2020-04-30
163,2020-05-02 17:34,2,Oruro,70,10,58,2020-04-30
174,2020-05-02 17:34,1,Patacamaya,23,2,20,2020-04-30
183,2020-05-02 17:35,0,Porongo (Ayacucho),1,1,0,2020-04-30
187,2020-05-02 17:35,1,Potosi,22,2,19,2020-04-30
209,2020-05-02 17:35,1,Robore,5,3,1,2020-04-30
212,2020-05-02 17:36,1,Sacaba,2,1,0,2020-04-30
226,2020-05-02 17:36,0,San Carlos,1,0,1,2020-04-30
252,2020-05-02 17:37,20,Santa Cruz de la Sierra,395,35,340,2020-04-30
262,2020-05-02 17:37,0,Santibañez,12,8,4,2020-04-30
272,2020-05-02 17:37,0,Sucre,3,0,3,2020-04-30
282,2020-05-02 17:38,0,Tarija,3,0,3,2020-04-30
310,2020-05-02 17:38,0,Vallegrande,8,4,4,2020-04-30
311,2020-05-02 17:38,1,Punata,9,0,8,2020-04-30
312,2020-05-02 17:38,0,Cairoma,12,0,12,2020-04-30
313,2020-05-02 17:38,0,Capinota,0,0,0,2020-04-30
314,2020-05-02 17:38,1,Quillacollo,18,0,17,2020-04-30
315,2020-05-02 17:38,1,Cliza,1,0,0,2020-04-30
317,2020-05-02 17:39,0,Huanuni,20,0,20,2020-04-30
318,2020-05-02 17:39,0,Laja,1,0,1,2020-04-30
319,2020-05-02 17:39,4,Eucaliptus,9,0,5,2020-04-30
320,2020-05-02 17:39,0,San Julián,1,0,1,2020-04-30
321,2020-05-02 17:39,0,Malla,1,0,1,2020-04-30
322,2020-05-02 17:39,0,Chulumani,1,0,1,2020-04-30
323,2020-05-02 17:39,0,Santuario de Quillacas,3,0,3,2020-04-30
324,2020-05-02 17:39,3,La Guardia,34,0,31,2020-04-30
325,2020-05-02 17:39,0,Cotoca,7,0,7,2020-04-30
326,2020-05-02 17:39,1,Warnes,16,0,15,2020-04-30
327,2020-05-02 17:39,0,Uyuni,1,0,1,2020-04-30
328,2020-05-02 17:39,0,Santa Rosa,16,0,16,2020-04-30
329,2020-05-02 17:39,0,San Pedro,1,0,1,2020-04-30
330,2020-05-02 17:39,0,Genreal Saavedra,5,0,5,2020-04-30
331,2020-05-02 17:39,1,Trinidad,66,0,65,2020-04-30
334,2020-05-02 17:39,0,Mineros,1,0,1,2020-04-30
335,2020-05-02 17:39,0,El Torno,4,0,4,2020-04-30
336,2020-05-02 17:39,0,Colcha K,3,0,3,2020-04-30
337,2020-05-02 17:39,0,Pailon,4,0,4,2020-04-30
338,2020-05-02 17:39,0,Moxos,1,0,1,2020-04-30
339,2020-05-02 17:39,0,Mairana,1,0,1,2020-04-30
340,2020-05-02 17:39,0,Buena Vista,1,0,1,2020-04-30
341,2020-05-02 17:39,0,Portachuelo,1,0,1,2020-04-30
342,2020-05-02 17:39,0,Viacha,1,0,1,2020-04-30
55,2020-05-02 17:31,0,Chimore,1,1,0,2020-04-30
64,2020-05-02 17:32,1,Cobija,12,6,5,2020-04-30
66,2020-05-02 17:32,2,Cochabamba,31,10,19,2020-04-30
68,2020-05-02 17:32,0,Colcapirhua,1,1,0,2020-04-30
79,2020-05-02 17:32,0,Concepcion,1,0,1,2020-04-30
80,2020-05-02 17:32,0,Copacabana,1,1,0,2020-04-30
95,2020-05-02 17:32,6,El Alto,58,6,46,2020-04-30
