index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-06-02 20:09,11,La Paz,208,125,72
154,2020-06-02 20:12,24,Montero,681,29,628
162,2020-06-02 20:13,0,Omereque,5,5,0
163,2020-06-02 20:13,6,Oruro,92,46,40
174,2020-06-02 20:14,2,Patacamaya,27,18,7
183,2020-06-02 20:15,0,Porongo (Ayacucho),9,1,8
187,2020-06-02 20:15,1,Potosi,29,14,14
209,2020-06-02 20:17,1,Robore,7,3,3
212,2020-06-02 20:18,5,Sacaba,103,1,97
226,2020-06-02 20:19,0,San Carlos,2,1,1
252,2020-06-02 20:22,76,Santa Cruz de la Sierra,2427,130,2221
262,2020-06-02 20:23,0,Santibañez,12,12,0
272,2020-06-02 20:24,2,Sucre,19,12,5
282,2020-06-02 20:25,1,Tarija,24,5,18
310,2020-06-02 20:27,0,Vallegrande,9,4,5
311,2020-06-02 20:27,1,Punata,18,5,12
312,2020-06-02 20:28,0,Cairoma,11,11,0
313,2020-06-02 20:28,0,Capinota,1,0,1
314,2020-06-02 20:28,2,Quillacollo,52,15,35
315,2020-06-02 20:28,1,Cliza,2,1,0
317,2020-06-02 20:28,3,Huanuni,49,16,30
318,2020-06-02 20:28,0,Laja,1,0,1
319,2020-06-02 20:28,4,Eucaliptus,18,6,8
320,2020-06-02 20:28,0,San Julián,4,0,4
321,2020-06-02 20:28,0,Malla,1,0,1
323,2020-06-02 20:29,0,Santuario de Quillacas,3,2,1
324,2020-06-02 20:29,4,La Guardia,159,8,147
325,2020-06-02 20:29,1,Cotoca,22,0,21
326,2020-06-02 20:29,1,Warnes,97,0,96
327,2020-06-02 20:29,0,Uyuni,3,0,3
328,2020-06-02 20:29,0,Santa Rosa,21,0,21
329,2020-06-02 20:29,0,San Pedro,55,1,54
330,2020-06-02 20:29,0,Genreal Saavedra,23,0,23
331,2020-06-02 20:29,65,Trinidad,1046,4,977
334,2020-06-02 20:30,0,Mineros,38,0,38
335,2020-06-02 20:30,1,El Torno,119,1,117
336,2020-06-02 20:30,0,Colcha K,4,0,4
337,2020-06-02 20:30,1,Pailon,19,0,18
339,2020-06-02 20:30,2,Mairana,25,1,22
340,2020-06-02 20:30,0,Buena Vista,12,0,12
341,2020-06-02 20:30,1,Portachuelo,85,0,84
342,2020-06-02 20:31,0,Viacha,19,3,16
343,2020-06-02 20:31,0,Camiri,7,0,7
344,2020-06-02 20:31,1,Vinto,11,0,10
345,2020-06-02 20:31,1,Guayaramerin,29,0,28
346,2020-06-02 20:31,0,Achacachi,1,1,0
347,2020-06-02 20:31,0,Cabezas,8,0,8
348,2020-06-02 20:31,1,Yacuiba,1,0,0
349,2020-06-02 20:31,0,Puerto Suarez,3,0,3
350,2020-06-02 20:31,0,Chulumani,1,0,1
351,2020-06-02 20:31,0,Samaipata,2,0,2
352,2020-06-02 20:32,0,Moro Moro,12,0,12
353,2020-06-02 20:32,1,Cuatro Cañadas,8,0,7
