index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-04-28 17:09:27,8,La Paz,95,13,74
154,2020-04-28 17:09:48,3,Montero,126,4,119
162,2020-04-28 17:09:55,0,Omereque,5,1,4
163,2020-04-28 17:09:56,2,Oruro,60,10,48
174,2020-04-28 17:10:06,1,Patacamaya,23,0,22
183,2020-04-28 17:10:15,0,Porongo (Ayacucho),1,1,0
187,2020-04-28 17:10:19,1,Potosi,22,2,19
209,2020-04-28 17:10:39,1,Robore,5,3,1
212,2020-04-28 17:10:42,1,Sacaba,2,1,0
226,2020-04-28 17:10:54,0,San Carlos,1,0,1
252,2020-04-28 17:11:19,18,Santa Cruz de la Sierra,322,27,277
262,2020-04-28 17:11:28,0,Santibañez,12,8,4
272,2020-04-28 17:11:37,0,Sucre,3,0,3
282,2020-04-28 17:11:46,0,Tarija,3,0,3
310,2020-04-28 17:12:12,0,Vallegrande,8,4,4
311,2020-04-28 17:12:13,1,Punata,9,0,8
312,2020-04-28 17:12:14,0,Cairoma,12,0,12
313,2020-04-28 17:12:15,0,Capinota,0,0,0
314,2020-04-28 17:12:16,1,Quillacollo,18,0,17
315,2020-04-28 17:12:17,1,Cliza,1,0,0
317,2020-04-28 17:12:19,0,Huanuni,20,0,20
318,2020-04-28 17:12:20,0,Laja,1,0,1
319,2020-04-28 17:12:21,2,Eucaliptus,9,0,7
320,2020-04-28 17:12:22,0,San Julián,1,0,1
321,2020-04-28 17:12:23,0,Malla,1,0,1
322,2020-04-28 17:12:24,0,Chulumani,1,0,1
323,2020-04-28 17:12:25,0,Santuario de Quillacas,3,0,3
324,2020-04-28 17:12:26,2,La Guardia,34,0,32
325,2020-04-28 17:12:26,0,Cotoca,7,0,7
326,2020-04-28 17:12:27,1,Warnes,16,0,15
327,2020-04-28 17:12:28,0,Uyuni,1,0,1
328,2020-04-28 17:12:29,0,Santa Rosa,16,0,16
329,2020-04-28 17:12:30,0,San Pedro,1,0,1
330,2020-04-28 17:12:31,0,Genreal Saavedra,5,0,5
331,2020-04-28 17:12:32,1,Trinidad,61,0,60
334,2020-04-28 17:12:35,0,Mineros,1,0,1
335,2020-04-28 17:12:36,0,El Torno,4,0,4
336,2020-04-28 17:12:37,0,Colcha K,3,0,3
337,2020-04-28 17:12:38,0,Pailon,2,0,2
338,2020-04-28 17:12:39,0,Moxos,1,0,1
339,2020-04-28 17:12:40,0,Mairana,1,0,1
340,2020-04-28 17:12:41,0,Buena Vista,1,0,1
55,2020-04-28 17:08:17,0,Chimore,1,1,0
64,2020-04-28 17:08:25,1,Cobija,12,6,5
66,2020-04-28 17:08:26,2,Cochabamba,29,10,17
68,2020-04-28 17:08:28,0,Colcapirhua,1,1,0
79,2020-04-28 17:08:38,0,Concepcion,1,0,1
80,2020-04-28 17:08:38,0,Copacabana,1,1,0
95,2020-04-28 17:08:53,6,El Alto,51,5,40
